subject,message,label
family name history,"discover your family history come visit our website at , http : / / www . traceit . com free search do you know who your ancestors are and what they did ? do you know when your surname first appeared ? are you curious about where your family roots originate ? now you can fill in the missing pieces of this puzzle . join the satisfied multitudes who have discovered their complete family surname history . all nationalities . it 's easy . just key your last name into our online index , and in seconds we will tell you it 's origin and much more . see if we ' ve researched your complete family name history during our 25 years of professional research . read a sample history , plus - free coat of arms keychain with your family 's most ancient coat of arms & crest . all in full color . your family name history parchment is 11x 17 "" , approximately 1700 words . it is beautifully illuminated by your most ancient coat of arms in full authentic heraldic colors . over 500 urls on family and heraldic history . please come visit our website at , http : / / www . traceit . com free search hall of names international inc . 1-888 - my - roots
",1
new book : bolognesi : the phonology of campidanian sardinian,"roberto bolognesi , the phonology of campidanian sardinian . a unitary account of a self-organizing structure . the phonology of campidanian sardinian presents a comprehensive description and theoretical account of the phonological system of southern sardinian . in addition to a description of the rich variety of phonological facts of the language , a unitary framework is developed which is based on three existing theories : the dependency - based ap - proach to segmental structure , metrical prosody and optimality theory . major revisions and extensions of the three theories are proposed which lead to a unitary account of an entire phonological system , from the segmental level to the level of higher prosodic constituents . contents : 1 . sociolinguistic introduction 2 . the data 3 . theoretical introduction 4 . a theory of segmental structure 5 . segmental phenomena 6 . a general theory of prosodic structure . 7 . a rhythmic theory of the syllable 8 . syllabification phenomena 9 . language specific contraints 10 . conclusions 1998 . 514 pp . isbn 90 5569 043 0 . paperback . [ hil dissertations 38 . university of amsterdam . ] price for individuals ordering directly from hag : nlg 40 ( excl . p&p and vat ) . holland academic graphics , the hague < http : / / www . hag . nl > rint sybesma holland academic graphics po box 53292 2505 ag the hague the netherlands fax : + 31 70 448 0177
",0
address change / changement d ' adresse,"please note that the street address for the department of linguistics at the university of ottawa has changed . the complete address , which you may wish to modify in your lsa directory etc . , is as follows : department of linguistics university of ottawa change - - - ) 200 wilbrod street ottawa , on k1n 6n5 canada all telephone numbers , e-mail addresses and fax numbers were unaffected by the move .
",0
basic course in neurolinguistics,"first circular december 1998 the department of linguistics at the university of oslo and the nordic neurolinguistic network are pleased to announce that a nordic research course , sponsored by the nordic academy for advanced study ( norfa ) : basic course in neurolinguistics will be held at sanner hotell , granavollen 3 - 5 , 2750 gran , norway , june 11-15 , 1999 . the course will consist of three components : ( i ) survey lectures by dr . susan edwards ( department of linguistic science , university of reading ) , dr . heidi hamilton ( department of linguistics , georgetown university ) , dr . matti laine ( department of psychology , turku university ) , professor bruce murdoch ( department of speech pathology and audiology , university of brisbane ) ; ( ii ) seminars with individual presentations by the students and post-paper discussions ; ( iii ) discussion sessions towards the end of a topic area , focusing on the methodological and theoretical issues shared by the papers presented . criteria for student selection in addition to those defined by norfa ( with regard to country of origin , etc . ) are : ( a ) the participants should have a strong background in one or several of the following disciplines or related areas : linguistics , psychology , neurology , cognitive science , phonetics , logopaedics and / or special education . ( b ) the topic of the course ( neurolinguistics ) should occupy a significant position in the phd or post-doctorate studies or study plans of the participants . the number of student participants will be restricted to 20 . pre - course requirements in addition to the general norfa requirements : ( a ) the applicants should send , together with their application , a 3 - 5 page long abstract of their work ( planned or ongoing ) in the topic area of the course . ( b ) a list of required pre-reading material will be sent to the participants in advance of the course . norfa will cover the cost of tuition , board and lodging during the course , and travel expences ( cheapest mode of travel ) for students from the nordic countries . for further details contact the responsible organiser . application procedure : send a free-form application to inger moen ( below ) by march 1 , 1999 . please enclose a brief cv and a 3 - 5 page long abstract of your work ( planned or ongoing ) in the topic area of the course . those accepted will be notified by april 1 . responsible organiser : professor inger moen , department of linguistics , university of oslo , p . o . box 1102 , blindern , n-0317 oslo , norway , phone + 47 22 85 42 64 , fax + 47 22 85 69 19 , e - mail inger . moen @ ilf . uio . no . web site : http : / / www . hf . uio . no / ilf / neurolingcourse99
",0
student conference in linguistics,"call for papers student conference in linguistics 11 special theme : endangered languages keynote speaker : jonathan david bobaljik may 8 - 9 , 1999 the university of texas at austin the 11th annual student conference in linguistics will be held at the university of texas at austin may 8 - 9 , 1999 . scil is a student-run conference which aims to bring together graduate students from around the world to present their research and build connections with other students . the proceedings are published in the mit working papers in linguistics . we invite original , unpublished work in any area of linguistics . we would particularly like to encourage submissions which focus on endangered or underdescribed languages , in keeping with the conference theme . guidelines for submission : please submit ten copies of a one-page , 500 - word , anonymous abstract for a twenty-minute paper ( optionally , one additional page for data and / or references may be appended ) , along with a 3 "" by 5 "" card with : ( 1 ) your name , ( 2 ) your affiliation , ( 3 ) your address , phone number , and e-mail address , ( 4 ) the title of the paper , and ( 5 ) an indication of which subdivision of linguistics best describes the topic ( e . g . , phonetics , phonology , syntax , semantics , psycholinguistics , anthropological linguistics , computational linguistics , sociolinguistics , etc . ) the abstract should be as specific as possible , and it should clearly indicate the data covered , outline the arguments presented , and include any broader implications of the work . the deadline for receipt of abstracts is 5 : 00 pm , february 15 , 1999 . send abstracts to : scil 11 abstract committee department of linguistics 501 calhoun hall the university of texas at austin austin , texas 78712 e - mail abstracts will be accepted . please email us or consult our web page for detailed instructions . email abstracts should be submitted to scil @ ccwf . cc . utexas . edu by 5 : 00 pm , february 15 , 1999 . further information is available at http : / / ccwf . cc . utexas . edu / ~ scil / index . html questions can be directed to scil @ ccwf . cc . utexas . edu - ralph c . blight department of linguistics , the university of texas at austin http : / / ccwf . cc . utexas . edu / ~ gizzmo / index . html
",0
facial information processing,"call for papers pragmatics & cognition announces a special issue on facial information processing : a multidisciplinary perspective guest editors itiel e . dror and sarah v . stevenage in many senses , faces are at the center of human interaction . at a very basic level , faces indicate identity . however , faces are remarkably rich information carriers . for example , facial gestures may be used as means of conveying intentions . faces may also permit a direct glimpse into the person 's inner self ( by unintentionally revealing , for example , aspects of character or mood ) . given their salient role , the processing of the information conveyed by faces and its integration with other sources of interactional information raise important issues in cognition and pragmatics . research on facial information processing has investigated these ( and other ) issues utilizing a variety of approaches and methodologies , and developments in both computer and cognitive sciences have recently carried this research forward . the emerging picture is that there are cognitive subsystems which specialize in different aspects of facial processing . this has been supported by neuropsychological evidence suggesting that brain damaged patients show dissociations between the different aspects of face processing . in addition , research on the development of facial processing abilities , and on aspects of the face itself which affect these processing abilities , has contributed to our understanding of how facial information is perceived . this special issue of pragmatics and cognition is intended to provide a common forum for a variety of the topics currently under investigation . given the breadth of issues and approaches used to investigate faces , we encourage submissions from a wide range of disciplines . our aim is that this special issue will tie together the diverse research on faces , and show their links and interdependencies . deadline for submission : august 1 , 1998 editorial decisions : november 1 , 1998 revised papers due : february 1 , 1999 expected publication : october 1999 papers should be submitted according to the guidelines of the journal ( see www url : http : / / www . cogsci . soton . ac . uk / ~ dror / guideline . html ) . all submissions will be peer reviewed . please send five copies of your submission either to : dr . itiel dror ( dror @ coglab . psy . soton . ac . uk ) or : dr . sarah stevenage ( svs1 @ soton . ac . uk ) dept . of psychology southampton university highfield , southampton so17 1bj england for additional and updated information see www url : http : / / www . cogsci . soton . ac . uk / ~ dror / faces . html or contact either of the guest editors .
",0
words that are their own opposites ( part 2 ),"in my last summary ( linguist 6 . 74 ) i listed a collection of what i call auto-antonyms - - words that have two opposite meanings . for example , to "" clip "" may mean to cut a little piece off , or to put a little piece on . to "" look over "" may mean careful scrutiny or that you missed an important detail . sometimes the antonymy may be historical : "" nice "" used to denote an unpleasant quality . in that summary , i promised a discussion of whether any generalities could be made about such pairs . are they regularly motivated , or always a coincidence ? i ' m still editing the responses to that question . meanwhile , here are more auto-antonyms that got left out of last post : one auto-antonym that i seem to have overlooked in preparing my post , although i remember looking it over many times before , is "" moot "" , which at once means "" suitable for debate "" and "" not worth discussing "" . impregnable : able to impregnated or inable to be pregnated , as joel hoffman points out . cope ( s ) mate : used to mean antagonist and now means partner or comerade , says ariadna solovyova , who got the word off of anu garg 's a . word . a . day mailing list . it turns out that they were having a week celebrating "" fence-setters "" , evidently another term for what i ' ve been calling auto-antonyms . bruce nevin reminds us of an intercontinental auto-antonym pair : "" public school "" in britain is "" private school "" in the usa and vice versa . infer : historically ( and now , informally ) this means "" imply "" as well . rent , lease : several pointed out to me that these means both lend and borrow . in addition , dan myers wrote to tell me that chinese operates similarly with respect to this pair , and wolfgang lipp notes a similar auto-antonymy to represent "" give "" and "" take "" in pronunciation ( shou4 ) but not in writing . learn / teach : in "" sub "" - standard english , these two meanings fuse into "" learn "" , as they do in standard russian "" uchit ' "" here are some of my personal favorites that i left out of the first summary : sensitive : this may describe either someone with profound understanding for the feelings of others , and tolerates differences of opinion ( thus "" sensitivity training "" for group leaders ) as well as a paranoid who does n't listen to what people are really saying , and decides to take everything as a personal insult . hole / whole : spelled the first way , an entire absence of matter ; the second , entire presence . this reminds me of "" pit "" which can be either a hollow or the stone of a fruit . which reminds me of "" seeded "" oranges ( insert your favorite fuit here ) - - oranges with seeds ( as opposed to navel oranges , which have no seeds ) , or oranges that have had their seeds removed . if you think you ' re beginning to see some patterns here , you ' re not alone ! as i said , i ' ve received a few theories on the ultimate essence of auto-antonymy , historical , psychological , and sociological approaches . these theories show that auto-antonymy comes about for a variety of reasons . in a short while , i ' m going to put up a summary of these theories . then , i ' ll briefly cover related linguistic phenomena , such as words with synonyms that look suspiciously like antonyms : flammable / inflammable , ravel / unravel . oh , and by the way , it turns out i was not the first to come up with the term "" auto-antonym . "" dennis baron informs me that he used the term "" autoantonymy "" on page 73 of his 1989 book / declining grammar and other essays on the english vocabulary / . - - alex eulenberg ( aeulenbe @ indiana . edu ) - - indiana university
",0
conference announcement,"* * * * * * * * * * * * * * * * * * * * * first announcement * * * * * * * * * * * * * * * * * * * * * * groningen assembly on language acquisition 1995 university of groningen the netherlands 7 - 9 september 1995 the conference aims to bring together researchers willing to discuss the merits and constraints of different theoretical approaches to language acquisition , in particular generative linguistics , constructionism , dynamic systems modelling , and connectionism . invited speakers harald clahsen university of essex annette karmiloff - smith mrc cog dev unit london kim plunkett university of oxford luigi rizzi university of geneva paul van geert university of groningen a first call for papers and conference preregistration will appear in february 1995 . the abstracts-deadline will be april 30 , 1995 . abstracts may cover all aspects of language acquisition rela - ting to the core areas of linguistics , including phonology , morphology , syntax , semantics and the interfaces . selection of abstracts will be based on not only their quality but also their potential to contribute to the conference 's interactive objective . for further information : charlotte koster , frank wijnen gala 1995 coordinators university of groningen , dutch dept . postbus 716 9700 as groningen , the netherlands e-mail : gala95 @ let . rug . nl fax : + 31 50 634900 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
",0
history of linguistic ideas,"the henry sweet society for the history of linguistic ideas fifteenth annual colloquium : amsterdam , 16th - 19th september 1998 second circular date and venue the colloquium is scheduled to begin with registration at 1 p . m . on wednesday 16 september , and to finish with breakfast on saturday 19 september . there will be associated events on wednesday and thursday evenings . registration and papers will take place in amsterdam university 's doelenzaal and its oudemanhuispoort facility . both locations are in the centre of amsterdam and can be easily reached by public transport . there will be a special bus on thursday and friday mornings for participants from hotel casa 400 . amsterdam , the capital of the netherlands , has the largest historical inner city in europe and the beautiful canals , monumental buildings , museums , world famous art galleries , open air markets and shopping streets can easily be explored on foot , should you have time before or after the colloquium . accommodation and travel a number of rooms have been booked for colloquium participants at hotel casa 400 . a list of low budget or more expensive hotels will be provided on request . amsterdam is easily accessible by air , rail and road . there is a direct rail connection to amsterdam from schiphol international airport located about 10 miles from the city centre . the city of amsterdam discourages its citizens from using cars , which means that there is no free parking either at the hotel or in the vicinity . detailed travel arrangements will be sent to those who have made bookings . keynote speaker we are delighted to announce that reinier salverda , professor of dutch at university college london , has agreed to be our keynote speaker . his topic will be "" dutch linguists around 1900 : a critical reappraisal "" . a book of abstracts will be made available to participants at the beginning of the colloquium . speakers who wish to make any adjustments to their abstracts should do so before 31 may . provisional lecture programme wednesday 16 september . 13 00arrival and registration 14 30r . schreyer ( aachen ) , "" john wilkins , the man in the moone and everything : on links and hyperlinks in the history of ideas "" . 15 00m . m . iserman ( heidelberg ) , "" sounds and their signs in john wilkin 's essay "" . 15 30n . wilding ( rome ) , "" galilean linguistics "" . 16 00tea 16 30i . zwiep ( amsterdam ) , "" hebrew studies at the time of the counter - refomation : the reception of bellarmine 's institutiones "" . 17 00a . j . klijnsmit ( amsterdam ) , "" vossius , spinoza and schultens : the application of analogia in hebrew grammar "" . 18 00dinner 20 00r . salverda ( london ) , "" dutch linguistics around 1900 : a critical reappraisal "" . thursday 17 september 09 30j . privratska ( prague ) , "" the reflections of comenius language endeavours in the encyclopaedia comeniana "" . 10 00j . mills ( luton ) , "" twentieth - century cornish lexicography and language revival "" . 10 30p . j . lucas ( dublin ) , "" john minshew , polymath and poseur : old english in an early seventeenth-century dictionary "" . 11 00coffee 11 30l . kelly ( cambridge ) , "" michel foucault , richard mckeon and grammatica speculativa "" . 12 00j . murphy ( davis , ca ) , "" early modern grammarians who write about rhetoric "" . 13 15lunch 14 30w . e . mcmahon ( akron , oh ) , "" revisiting the concept of logical form "" . 15 00b . godart - wendling ( paris ) , "" la place de la semantique dans les premieres grammaires categorielles "" . 15 30l . shi - xu ( singapore ) , "" the poetics of formalism and functionalisn : understanding linguistic science as discourse "" . 16 00tea 16 30m . j . van der wal ( leiden ) , "" feral children in the netherlands : an eighteenth-century case within its european context "" . 17 00l jooken ( louvain ) , "" james hutton 's synthesis of epistemolinguistic issues at the end of the scottish enlightenment "" . 17 30r . steadman - jones ( cambridge ) , "" face and race in the early nineteenth century : european grammars of wolof and urdu "" . friday 18 september 09 30s . a . romaschko ( moscow ) , "" transferring grammars : how german grammarby jacob grimm was converted into russian historical grammar by fedor buslaev "" . 10 00t . becker ( munich ) , "" hermann paul , the post-generative morphologist "" . 10 30n . helsloot ( amsterdam ) , "" nietsche 's tone "" . 11 00coffee 11 30h . gwosdek ( tuebingen ) , "" the english grammars for st paul 's school , london "" . 12 00p . loonen ( groningen ) , "" the production of french grammars by hugenot refugees in the dutch republic "" . 12 30i . tieken - boon van ostade ( leiden ) , "" towards an edition of lowth 's correspondence "" . 13 15lunch 14 30e . h . jahr ( tromso ) , "" clara holst ( 1868-1935 ) : norwegian historical linguist and woman pioneer "" . 15 00a . linn ( sheffield ) , "" towards a stylistics of standardisation : the case of norwegian and faroese "" . 15 30j . m . morris ( london ) , "" linguistic ideas for literacy in english "" . 16 00tea 16 30b . collins ( leiden ) & i . m . mees ( copenhagen ) , "" daniel jones role in the development of a prestige variety of british english pronunciation "" . 17 00m . k . c . macmahon ( glasgow ) , "" the beginnings of phonetics in the british university system "" . 17 30annual general meeting - - - conference dinner on behalf of the organising committee : dr . robin smith department of english language and literature university of leiden p . o . box 9515 2300 ra leiden the netherlands e-mail : rdsmith @ rullet . leidenuniv . nl those who want to attend the conference are kindly requested to print the following registration form and hotel reservation form , complete them , and send them by fax or regular mail to the addresses mentioned on the forms . * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * the henry sweet society for the history of linguistic ideas * * * * * * fifteenth annual colloquium , amsterdam , september 16-18 , 1998 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * registration form ( please print or use a typewriter ) * * * o mr o mrs family name . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . first name . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . title ( prof . / dr . etc . ) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . institution . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . address . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . code / city . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . country . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . telephone . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . telefax . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . e - mail . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . please tick the appropriate boxes and fill in the appropriate amount i wish to attend the conference and register members of the henry sweet society ( or participants who wish to become a member of the henry sweet society , and will pay the membership fee of 9 british pounds ( approx . dfl 32 ) at the registration desk on the first day of the conference ) o before august 1 , 1998 dfl 300 o after august 1 , 1998 dfl 325 non-members o before august 1 , 1998 dfl 400 o after august 1 , 1998 dfl 425 students o before august 1 , 1998 dfl 135 social event o conference dinner on fridaydfl 80 the registration fee includes access to all sessions , coffee and tea , two ( dutch ) lunches , two dinners and a reception . students must enclose a copy of their student card . total amount to be paid ( please fill in ) dfl . . . . . i will pay this amount o by remitting the amount to the postbank amsterdam , account number 6391427 , in favour of "" uva gio congresbureau "" ( * ) o by sending eurocheques to the conference office ( * ) ( max . amount per cheque : dfl 300 ; each cheque complete with signature and bank card number ) o please charge my credit card . ( this will add an additional dfl 25 to the total amount ) o master / eurocard o visa o american express credit card number : . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . expiry date : . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . exact name on card : . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ( * ) please state "" hss "" and the full name of the participant on the bank transfer or cheque ! payments should be made in dutch guilders and without charges to the beneficiary . by sending in this registration form , i acknowledge that i commit myself to the immediate payment of the full conference fee . i have taken notice of the cancellation terms on this form . date . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . signature . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . cancellations and refunds the conference office should be notified of cancellations in writing . if cancellations are received by the conference office before august 1 , 1998 , the total conference fee will be refunded , less dfl 45 administration costs . after august 1 , 1998 , no refunds will be made . please note that refunds will only be made after the completion of the conference . please return this form : by fax or by regular mail ( as a hard copy ) to : conference office , universiteit van amsterdam p . o . box 19268 , 1000 gg amsterdam , the netherlands fax : + 31 525 4799 , tel : + 31 525 4791 * * * end of registration form hss amsterdam conference * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * the henry sweet society for the history of linguistic ideas * * * * * * fifteenth annual colloquium , amsterdam , september 16-18 , 1998 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * hotel reservation form ( please print or use a typewriter ) * * * * hotel prices can only be guaranteed , if the hotel reservation form is returned before july 15 . * since the year 1998 is a very busy year in amsterdam , we strongly advise you to take care of your hotel reservation as soon as possible . family name . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . first name . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . address . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . code / city . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . country . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . telephone . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . telefax . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . please fill in and tick the appropriate boxes i would like to make the following reservation at the hotel casa 400 james wattstraat 75 amsterdam . . . . single room ( s ) dfl 132 per night . . . . twin-bedded room ( s ) dfl 176 per night date of arrival : . . . . . . . . . date of departure : . . . . . . . . . above rates are per room , per day and include breakfast , services and taxes . all rooms have private facilities . in order to guarantee the reservation , a deposit of dfl 200 per room is required and must be remitted in advance . after receipt of this amount the hotel reservation will be confirmed and a hotel deposit voucher will be sent , less dfl 25 for reservation and bank charges . the value of the voucher will be deducted from your final hotel bill . for cancellations received before september 2 , 1998 , refunds will be made less dfl 50 administration fee . please note that it can take a few weeks before you receive a confirmation of your hotel reservation . i have paid the deposit of dfl . . . . . . . . . . o by remitting the amount to the abn / amro bank amsterdam , account number 41 . 11 . 55 . 210 , in favour of "" carlson wagonlit travel "" o by sending a cheque to carlson wagonlit travel o please charge my credit card o master / eurocard o visa o american express o other : . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . credit card number : . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . expiry date : . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . exact name on card : . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . date . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . signature . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . please return as a hard copy by regular mail or fax to : carlson wagonlit travel dam 19 1012 js amsterdam the netherlands fax + 31 20 623 5107 tel + 31 20 624 1361 e-mail agm @ keytours . nl * * * end of hotel reservation form hss amsterdam conference * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
",0
fyi : hellenistic greek linguistics resources,"announcing : hellenistic greek linguistics on the internet [ with apologies for any multiple postings ] i am pleased to announce new resources designed to bring together scholars interested in the study of hellenistic ( including new testament ) greek linguistics . these resources include world wide web pages ( accessible with such programs as lynx , mosaic and netscape ) as well as a mailing list . as well as general discussion , the list ( which is archived on the web pages ) provides a forum for discussing the new reference grammar planned as a complete revision of blass , debrunner and funk 's standard work . the web pages include bibliographies and a ( newly started ) electronic archive of papers . to browse the web pages , go to the url : http : / / tartarus . uwa . edu . au / hgrk to subscribe to the mailing list , send a request to : jtauber @ tartarus . uwa . edu . au and to send a message to the entire list , write to : greek-grammar @ tartarus . uwa . edu . au please feel free to make enquires to jtauber @ tartarus . uwa . edu . au james k . tauber ( jtauber @ tartarus . uwa . edu . au ) 4th year honours student , centre for linguistics university of western australia , wa 6009 , australia
",0
